0,Synthesizable,Material ID,Formula,Crystal System,Space Group Symbol,Space Group Number,Sites,Energy Above Hull,Formation Energy,Predicted Stable,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization,,,,,,,,,,,,,,
90,TRUE,mp-705558,Fe7O9,Triclinic,P1,1,48,0.2199689356,-1.402350737,FALSE,649.3866032,4.103433688,0.8622,FALSE,FALSE,FM,96.0004145,,,,,,,,,,,,,,
91,TRUE,mp-1182503,Fe8O17,Triclinic,P1,1,50,0.2513775819,-1.112230196,FALSE,622.3510959,3.835494562,0,FALSE,TRUE,FiM,62.0017633,,,,,,,,,,,,,,
92,TRUE,mp-705588,Fe8O9,Triclinic,P1,1,34,0.04960411941,-1.497035271,FALSE,370.3831694,5.297060844,0.9057,FALSE,FALSE,FM,67.9989394,,,,,,,,,,,,,,
93,TRUE,mp-763787,Fe8O9,Triclinic,P-1,2,17,0.06230382441,-1.484335566,FALSE,183.8812343,5.334808066,1.4134,FALSE,FALSE,FM,34.0000574,,,,,,,,,,,,,,
94,TRUE,mp-759037,Fe9O10,Triclinic,P-1,2,19,0.03972695184,-1.499831243,FALSE,205.633518,5.350642909,1.2168,FALSE,FALSE,FM,38.0007454,,,,,,,,,,,,,,
95,TRUE,mp-1342828,Fe9O13,Monoclinic,C2/m,12,22,0.2640022684,-1.420853877,FALSE,260.1207842,4.536255781,0,FALSE,TRUE,FM,44.0008974,,,,,,,,,,,,,,
96,TRUE,mp-1178232,FeO,Monoclinic,C2/m,12,8,0.012036055,-1.467331974,FALSE,85.18241988,5.602115229,0,FALSE,TRUE,AFM,3.50E-05,,,,,,,,,,,,,15.07655847,10.19518822
97,TRUE,mp-1178239,FeO,Monoclinic,Cc,9,8,0.3000672363,-1.179300792,FALSE,106.6394171,4.474909417,0,FALSE,TRUE,FM,16.113327,,,,,,,,,,,,,,
98,TRUE,mp-1178247,FeO,Trigonal,P31c,159,24,0.1112677463,-1.368100282,FALSE,257.3269415,5.563370811,2.0878,TRUE,FALSE,FM,48.0001239,,,,,,,,,,,,,,
99,TRUE,mp-1181437,FeO,Tetragonal,I4/mmm,139,2,1.05286075,-0.4265072787,FALSE,98.23657652,1.214419691,1.8861,FALSE,FALSE,FM,4,,,,,,,,,,,,,,
100,TRUE,mp-1244983,FeO,Triclinic,P1,1,80,0.2778206165,-1.201547412,FALSE,1092.637619,4.367429084,0.2905,FALSE,FALSE,FM,164.0037141,,,,,,,,,,,,,,
103,TRUE,mp-1274279,FeO,Monoclinic,C2/m,12,8,0,-1.479368029,TRUE,84.98847684,5.614899212,1.8157,FALSE,FALSE,AFM,2.00E-07,,,,,,,,,,,,,,
104,TRUE,mp-1283030,FeO,Monoclinic,C2/c,15,8,0.01406186125,-1.465306167,FALSE,85.82863911,5.559935898,1.7989,FALSE,FALSE,AFM,9.00E-07,,,,,,,,,,,,,,
105,FALSE,mp-18905,FeO,Cubic,Fm-3m,225,4,0.410174745,-1.069193284,FALSE,38.72049868,6.162133081,0,FALSE,TRUE,FM,8.000114,,,,,,,,,,,,,,
106,TRUE,mp-715262,FeO,Tetragonal,I4/mmm,139,4,0.009280055,-1.470087974,FALSE,42.78013222,5.577375605,0,FALSE,TRUE,AFM,0,,,,,,,,,,,,,,
107,TRUE,mp-753682,FeO,Tetragonal,P4_2/mmc,131,8,0.087101995,-1.392266034,FALSE,101.3879859,4.706689133,0,FALSE,TRUE,AFM,0,,,,,,,,,,,,,,
108,TRUE,mp-754765,FeO,Hexagonal,P6_3mc,186,8,0.4628708663,-1.016497162,FALSE,107.5069561,4.43879865,0,FALSE,TRUE,FM,16.1512173,,,,,,,,,,,,,,
109,TRUE,mp-755189,FeO,Hexagonal,P6_3/mmc,194,4,0.1134867325,-1.365881296,FALSE,43.09432435,5.536712071,1.0884,FALSE,FALSE,FM,8.0000302,,,,,,,,,,,,,,
110,TRUE,mp-756436,FeO,Monoclinic,C2/m,12,4,0.115628285,-1.363739744,FALSE,43.0794153,5.538628233,0.9475,FALSE,FALSE,FM,8.0000124,,,,,,,,,,,,,,
111,TRUE,mp-849689,FeO,Hexagonal,P-62c,190,24,0.1037994583,-1.37556857,FALSE,258.7372207,5.53304697,1.161,FALSE,FALSE,FM,47.9997933,,,,,,,,,,,,,,
112,TRUE,mp-1047285,FeO2,Orthorhombic,Pnma,62,24,0.3914110875,-1.029013681,FALSE,279.0784465,4.181421059,0,FALSE,TRUE,FiM,16,,,,,,,,,,,,,,
113,TRUE,mp-1062652,FeO2,Monoclinic,C2/m,12,3,0.2573382904,-1.163086478,FALSE,35.60456134,4.096892538,0,FALSE,TRUE,FM,3.9984295,,,,,,,,,,,,,,
114,FALSE,mp-1097003,FeO2,Orthorhombic,Cmcm,63,6,0.2762865787,-1.14413819,FALSE,66.03035377,4.418212332,0,FALSE,TRUE,FiM,7.9993265,,,,,,,,,,,,,,
115,TRUE,mp-1181766,FeO2,Monoclinic,P2/m,10,24,0.1809205063,-1.239504262,FALSE,309.6586767,3.76848634,0,FALSE,TRUE,FM,31.9993024,,,,,,,,,,,,,,
116,TRUE,mp-1205429,FeO2,Monoclinic,Pm,6,24,0.1869005179,-1.233524251,FALSE,305.5627122,3.819001621,0,FALSE,TRUE,FM,31.9996483,,,,,,,,,,,,,,
117,TRUE,mp-1350825,FeO2,Monoclinic,Cm,8,48,0.33462994,-1.085794829,FALSE,576.64652,4.047347735,0,FALSE,TRUE,FiM,64.0000039,,,,,,,,,,,,,,
118,TRUE,mp-1354450,FeO2,Triclinic,P1,1,36,0.2720548743,-1.148369894,FALSE,447.1490208,3.914616064,0,FALSE,TRUE,FM,48.0040706,,,,,,,,,,,,,,
119,TRUE,mp-1355192,FeO2,Monoclinic,Cm,8,36,0.3412265057,-1.079198263,FALSE,435.6524254,4.017920337,0,FALSE,TRUE,FiM,48.0393813,,,,,,,,,,,,,,
120,TRUE,mp-1355579,FeO2,Trigonal,P3m1,156,36,0.2806642288,-1.13976054,FALSE,441.833027,3.961715474,0,FALSE,TRUE,FM,48.0100029,,,,,,,,,,,,,,
121,TRUE,mp-1359196,FeO2,Monoclinic,Cm,8,36,0.2716480338,-1.148776735,FALSE,448.3325032,3.904282486,0,FALSE,TRUE,FM,48.013796,,,,,,,,,,,,,,
122,TRUE,mp-1384466,FeO2,Hexagonal,P6_3/mmc,194,6,0.3206748888,-1.09974988,FALSE,74.09899897,3.937112881,0,FALSE,TRUE,FM,8.0016065,,,,,,,,,,,,,,
123,TRUE,mp-1387762,FeO2,Orthorhombic,Imma,74,12,0.3749277746,-1.045496994,FALSE,141.31004,4.129021878,0,FALSE,TRUE,FM,15.9985145,,,,,,,,,,,,,,
125,TRUE,mp-1412685,FeO2,Hexagonal,P6_3/mmc,194,6,1.983172177,0.5627474083,FALSE,82.37601194,3.54151793,0,FALSE,TRUE,FM,4.9148169,,,,,,,,,,,,,,
126,TRUE,mp-1431292,FeO2,Trigonal,R-3m,166,3,0.3099513637,-1.110473405,FALSE,51.00743953,2.859740912,0,FALSE,TRUE,FM,3.9972016,,,,,,,,,,,,,,
127,TRUE,mp-1443203,FeO2,Trigonal,R3m,160,12,0.3098488304,-1.110575938,FALSE,143.9804582,4.052440545,0,FALSE,TRUE,FM,15.9998058,,,,,,,,,,,,,,
128,TRUE,mp-25236,FeO2,Trigonal,R-3m,166,3,0.2746335304,-1.145791238,FALSE,38.14473419,3.824068112,0,FALSE,TRUE,FM,3.9946057,,,,,,,,,,,,,,
129,TRUE,mp-25332,FeO2,Tetragonal,I4_1/amd,141,6,0.1678703954,-1.252554373,FALSE,69.02295608,4.226653564,0,FALSE,TRUE,FM,7.9953917,,,,,,,,,,,,,,
130,TRUE,mp-540003,FeO2,Cubic,Fd-3m,227,12,0.3208237021,-1.099601067,FALSE,135.6649015,4.30083419,0,FALSE,TRUE,FM,15.9810229,,,,,,,,,,,,,,
131,TRUE,mp-714904,FeO2,Tetragonal,I4_1/amd,141,12,0.2803435471,-1.140081222,FALSE,147.2377862,3.962788778,0,FALSE,TRUE,FM,15.9973523,,,,,,,,,,,,,,
132,FALSE,mp-796259,FeO2,Orthorhombic,Pnma,62,12,0.2051724846,-1.215252284,FALSE,133.8783865,4.358225864,0,FALSE,TRUE,FM,15.9988576,,,,,,,,,,,,,,
133,FALSE,mp-796324,FeO2,Tetragonal,I4/m,87,12,0.1805425254,-1.239882243,FALSE,153.9825827,3.78920938,0,FALSE,TRUE,FM,15.9913512,,,,,,,,,,,,,,
134,FALSE,mp-821313,FeO2,Trigonal,P-3m1,164,3,0.2752866004,-1.145138168,FALSE,37.41529279,3.898621414,0,FALSE,TRUE,FM,4.0002341,,,,,,,,,,,,,,
135,TRUE,mp-850222,FeO2,Tetragonal,P4_2/mnm,136,6,0.1458956904,-1.274529078,FALSE,63.25368543,4.612160088,0,FALSE,TRUE,FM,8.0324536,,,,,,,,,,,,,,
136,TRUE,mp-863316,FeO3,Monoclinic,C2/m,12,8,0.5419851097,-0.5233334669,FALSE,122.9386516,2.805231523,0.3051,FALSE,FALSE,FM,10,,,,,,,,,,,,,,
